table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,
"Estimates of the Total Resident Population and Resident Population Age 18 Years and Older 
for the United States, Regions, States, District of Columbia, and Puerto Rico: July 1, 2022",,,
Geographic Area,"Total Resident
Population","Resident Population Age 18
 Years and Older",
,,Number,Percent
United States,"333,287,557","260,836,730",78.3
Northeast,"57,040,406","45,544,589",79.8
Midwest,"68,787,595","53,626,659",78.0
South,"128,716,192","100,098,310",77.8
West,"78,743,364","61,567,172",78.2
.Alabama,"5,074,296","3,962,734",78.1
.Alaska,"733,583","557,060",75.9
.Arizona,"7,359,197","5,770,187",78.4
.Arkansas,"3,045,637","2,348,518",77.1
.California,"39,029,342","30,523,315",78.2
.Colorado,"5,839,926","4,624,351",79.2
.Connecticut,"3,626,205","2,895,175",79.8
.Delaware,"1,018,396","810,269",79.6
.District of Columbia,"671,803","547,328",81.5
.Florida,"22,244,823","17,948,469",80.7
.Georgia,"10,912,876","8,402,753",77.0
.Hawaii,"1,440,196","1,142,870",79.4
.Idaho,"1,939,033","1,475,629",76.1
.Illinois,"12,582,032","9,861,901",78.4
.Indiana,"6,833,037","5,263,114",77.0
.Iowa,"3,200,517","2,476,028",77.4
.Kansas,"2,937,150","2,246,318",76.5
.Kentucky,"4,512,310","3,507,735",77.7
.Louisiana,"4,590,241","3,528,548",76.9
.Maine,"1,385,340","1,137,442",82.1
.Maryland,"6,164,660","4,818,071",78.2
.Massachusetts,"6,981,974","5,644,540",80.8
.Michigan,"10,034,113","7,924,418",79.0
.Minnesota,"5,717,184","4,423,022",77.4
.Mississippi,"2,940,057","2,261,996",76.9
.Missouri,"6,177,957","4,813,049",77.9
.Montana,"1,122,867","889,114",79.2
.Nebraska,"1,967,923","1,491,246",75.8
.Nevada,"3,177,772","2,487,994",78.3
.New Hampshire,"1,395,231","1,142,307",81.9
.New Jersey,"9,261,699","7,267,590",78.5
.New Mexico,"2,113,344","1,653,831",78.3
.New York,"19,677,151","15,687,863",79.7
.North Carolina,"10,698,973","8,404,094",78.6
.North Dakota,"779,261","596,486",76.5
.Ohio,"11,756,058","9,193,508",78.2
.Oklahoma,"4,019,800","3,066,654",76.3
.Oregon,"4,240,137","3,403,149",80.3
.Pennsylvania,"12,972,008","10,347,543",79.8
.Rhode Island,"1,093,734","889,822",81.4
.South Carolina,"5,282,634","4,164,762",78.8
.South Dakota,"909,824","690,659",75.9
.Tennessee,"7,051,339","5,513,202",78.2
.Texas,"30,029,572","22,573,234",75.2
.Utah,"3,380,800","2,449,192",72.4
.Vermont,"647,064","532,307",82.3
.Virginia,"8,683,619","6,816,709",78.5
.Washington,"7,785,786","6,139,213",78.9
.West Virginia,"1,775,156","1,423,234",80.2
.Wisconsin,"5,892,539","4,646,910",78.9
.Wyoming,"581,381","451,267",77.6
,,,
Puerto Rico,"3,221,789","2,703,450",83.9
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022. ",,,
Suggested Citation:,,,
"Estimates of the Total Resident Population and Resident Population Age 18 Years and Older for the United States, 
Regions, States, District of Columbia, and Puerto Rico: July 1, 2022 (SCPRC-EST2022-18+POP)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: December 2022,,,
